Entry	Entry Name	Protein names	Gene Names	Organism	Length	Gene Names (primary)	Mass	Annotation	Reviewed	Gene Ontology (biological process)	Gene Ontology (cellular component)	Gene Ontology (GO)	Gene Ontology (molecular function)	Gene Ontology IDs
P00903	PABA_ECOLI	Aminodeoxychorismate synthase component 2 (ADC synthase) (ADCS) (EC 2.6.1.85) (4-amino-4-deoxychorismate synthase component 2) (Aminodeoxychorismate synthase, glutamine amidotransferase component)	pabA b3360 JW3323	Escherichia coli (strain K12)	187	pabA	20772	5.0	reviewed	4-aminobenzoate biosynthetic process [GO:0008153]; folic acid biosynthetic process [GO:0046656]; L-tryptophan biosynthetic process [GO:0000162]; tetrahydrofolate biosynthetic process [GO:0046654]	aminodeoxychorismate synthase complex [GO:0009356]	aminodeoxychorismate synthase complex [GO:0009356]; 4-amino-4-deoxychorismate synthase activity [GO:0046820]; protein heterodimerization activity [GO:0046982]; 4-aminobenzoate biosynthetic process [GO:0008153]; folic acid biosynthetic process [GO:0046656]; L-tryptophan biosynthetic process [GO:0000162]; tetrahydrofolate biosynthetic process [GO:0046654]	4-amino-4-deoxychorismate synthase activity [GO:0046820]; protein heterodimerization activity [GO:0046982]	GO:0000162; GO:0008153; GO:0009356; GO:0046654; GO:0046656; GO:0046820; GO:0046982
P00904	TRPGD_ECOLI	Bifunctional protein TrpGD [Includes: Anthranilate synthase component 2 (AS) (ASII) (EC 4.1.3.27) (Anthranilate synthase, glutamine amidotransferase component); Anthranilate phosphoribosyltransferase (EC 2.4.2.18)]	trpGD trpD b1263 JW1255	Escherichia coli (strain K12)	531	trpGD	56870	5.0	reviewed	L-tryptophan biosynthetic process [GO:0000162]; phenazine biosynthetic process [GO:0002047]	anthranilate synthase complex [GO:0005950]	anthranilate synthase complex [GO:0005950]; anthranilate phosphoribosyltransferase activity [GO:0004048]; anthranilate synthase activity [GO:0004049]; magnesium ion binding [GO:0000287]; L-tryptophan biosynthetic process [GO:0000162]; phenazine biosynthetic process [GO:0002047]	anthranilate phosphoribosyltransferase activity [GO:0004048]; anthranilate synthase activity [GO:0004049]; magnesium ion binding [GO:0000287]	GO:0000162; GO:0000287; GO:0002047; GO:0004048; GO:0004049; GO:0005950
P00914	PHR_ECOLI	Deoxyribodipyrimidine photo-lyase (EC 4.1.99.3) (DNA photolyase) (Photoreactivating enzyme)	phrB phr b0708 JW0698	Escherichia coli (strain K12)	472	phrB	53667	5.0	reviewed	photoreactive repair [GO:0000719]; phototransduction, visible light [GO:0007603]; response to light stimulus [GO:0009416]		damaged DNA binding [GO:0003684]; deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; FAD binding [GO:0071949]; photoreactive repair [GO:0000719]; phototransduction, visible light [GO:0007603]; response to light stimulus [GO:0009416]	damaged DNA binding [GO:0003684]; deoxyribodipyrimidine photo-lyase activity [GO:0003904]; DNA binding [GO:0003677]; FAD binding [GO:0071949]	GO:0000719; GO:0003677; GO:0003684; GO:0003904; GO:0007603; GO:0009416; GO:0071949
P00926	SDHD_ECOLI	D-serine dehydratase (EC 4.3.1.18) (D-serine deaminase) (DSD)	dsdA b2366 JW2363	Escherichia coli (strain K12)	442	dsdA	47901	5.0	reviewed	D-serine catabolic process [GO:0036088]; D-serine metabolic process [GO:0070178]; detoxification of nitrogen compound [GO:0051410]; DNA damage response [GO:0006974]	cytoplasm [GO:0005737]; cytosol [GO:0005829]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; D-serine ammonia-lyase activity [GO:0008721]; hydro-lyase activity [GO:0016836]; pyridoxal phosphate binding [GO:0030170]; D-serine catabolic process [GO:0036088]; D-serine metabolic process [GO:0070178]; detoxification of nitrogen compound [GO:0051410]; DNA damage response [GO:0006974]	D-serine ammonia-lyase activity [GO:0008721]; hydro-lyase activity [GO:0016836]; pyridoxal phosphate binding [GO:0030170]	GO:0005737; GO:0005829; GO:0006974; GO:0008721; GO:0016836; GO:0030170; GO:0036088; GO:0051410; GO:0070178
P00935	METB_ECOLI	Cystathionine gamma-synthase (CGS) (EC 2.5.1.48) (O-succinylhomoserine (thiol)-lyase)	metB b3939 JW3910	Escherichia coli (strain K12)	386	metB	41550	5.0	reviewed	cysteine biosynthetic process via cystathionine [GO:0019343]; methionine biosynthetic process [GO:0009086]; transsulfuration [GO:0019346]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; cystathionine gamma-lyase activity [GO:0004123]; cystathionine gamma-synthase activity [GO:0003962]; pyridoxal phosphate binding [GO:0030170]; cysteine biosynthetic process via cystathionine [GO:0019343]; methionine biosynthetic process [GO:0009086]; transsulfuration [GO:0019346]	cystathionine gamma-lyase activity [GO:0004123]; cystathionine gamma-synthase activity [GO:0003962]; pyridoxal phosphate binding [GO:0030170]	GO:0003962; GO:0004123; GO:0005737; GO:0009086; GO:0019343; GO:0019346; GO:0030170
P00936	CYAA_ECOLI	Adenylate cyclase (EC 4.6.1.1) (ATP pyrophosphate-lyase) (Adenylyl cyclase)	cyaA cya b3806 JW3778	Escherichia coli (strain K12)	848	cyaA	97586	5.0	reviewed	cAMP biosynthetic process [GO:0006171]	cytoplasm [GO:0005737]	cytoplasm [GO:0005737]; adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]; cAMP biosynthetic process [GO:0006171]	adenylate cyclase activity [GO:0004016]; ATP binding [GO:0005524]	GO:0004016; GO:0005524; GO:0005737; GO:0006171
P00946	MANA_ECOLI	Mannose-6-phosphate isomerase (EC 5.3.1.8) (Phosphohexomutase) (Phosphomannose isomerase) (PMI)	manA pmi b1613 JW1605	Escherichia coli (strain K12)	391	manA	42850	5.0	reviewed	colanic acid biosynthetic process [GO:0009242]; GDP-mannose biosynthetic process [GO:0009298]; mannose catabolic process [GO:0019309]	cytosol [GO:0005829]	cytosol [GO:0005829]; mannose-6-phosphate isomerase activity [GO:0004476]; zinc ion binding [GO:0008270]; colanic acid biosynthetic process [GO:0009242]; GDP-mannose biosynthetic process [GO:0009298]; mannose catabolic process [GO:0019309]	mannose-6-phosphate isomerase activity [GO:0004476]; zinc ion binding [GO:0008270]	GO:0004476; GO:0005829; GO:0008270; GO:0009242; GO:0009298; GO:0019309
P00956	SYI_ECOLI	Isoleucine--tRNA ligase (EC 6.1.1.5) (Isoleucyl-tRNA synthetase) (IleRS)	ileS ilvS b0026 JW0024	Escherichia coli (strain K12)	938	ileS	104297	5.0	reviewed	isoleucyl-tRNA aminoacylation [GO:0006428]; response to antibiotic [GO:0046677]	cytosol [GO:0005829]	cytosol [GO:0005829]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; isoleucyl-tRNA aminoacylation [GO:0006428]; response to antibiotic [GO:0046677]	aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; isoleucine-tRNA ligase activity [GO:0004822]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	GO:0000049; GO:0002161; GO:0004822; GO:0005524; GO:0005829; GO:0006428; GO:0008270; GO:0046677
P00957	SYA_ECOLI	Alanine--tRNA ligase (EC 6.1.1.7) (Alanyl-tRNA synthetase) (AlaRS) (Protein lactyltransferase) (EC 6.-.-.-)	alaS lovB b2697 JW2667	Escherichia coli (strain K12)	876	alaS	96032	5.0	reviewed	alanyl-tRNA aminoacylation [GO:0006419]; negative regulation of DNA-templated transcription [GO:0045892]	cytosol [GO:0005829]; membrane [GO:0016020]	cytosol [GO:0005829]; membrane [GO:0016020]; alanine-tRNA ligase activity [GO:0004813]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; DNA-binding transcription repressor activity [GO:0001217]; identical protein binding [GO:0042802]; peptide lactyltransferase (ATP-dependent) activity [GO:0141207]; protein homodimerization activity [GO:0042803]; Ser-tRNA(Ala) deacylase activity [GO:0002196]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; alanyl-tRNA aminoacylation [GO:0006419]; negative regulation of DNA-templated transcription [GO:0045892]	alanine-tRNA ligase activity [GO:0004813]; aminoacyl-tRNA deacylase activity [GO:0002161]; ATP binding [GO:0005524]; DNA-binding transcription repressor activity [GO:0001217]; identical protein binding [GO:0042802]; peptide lactyltransferase (ATP-dependent) activity [GO:0141207]; protein homodimerization activity [GO:0042803]; Ser-tRNA(Ala) deacylase activity [GO:0002196]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	GO:0000049; GO:0001217; GO:0002161; GO:0002196; GO:0004813; GO:0005524; GO:0005829; GO:0006419; GO:0008270; GO:0016020; GO:0042802; GO:0042803; GO:0045892; GO:0141207
P00959	SYM_ECOLI	Methionine--tRNA ligase (EC 6.1.1.10) (Methionyl-tRNA synthetase) (MetRS)	metG b2114 JW2101	Escherichia coli (strain K12)	677	metG	76255	5.0	reviewed	methionyl-tRNA aminoacylation [GO:0006431]	cytosol [GO:0005829]; membrane [GO:0016020]	cytosol [GO:0005829]; membrane [GO:0016020]; ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; protein homodimerization activity [GO:0042803]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]; methionyl-tRNA aminoacylation [GO:0006431]	ATP binding [GO:0005524]; methionine-tRNA ligase activity [GO:0004825]; protein homodimerization activity [GO:0042803]; tRNA binding [GO:0000049]; zinc ion binding [GO:0008270]	GO:0000049; GO:0004825; GO:0005524; GO:0005829; GO:0006431; GO:0008270; GO:0016020; GO:0042803
P00962	SYQ_ECOLI	Glutamine--tRNA ligase (EC 6.1.1.18) (Glutaminyl-tRNA synthetase) (GlnRS)	glnS b0680 JW0666	Escherichia coli (strain K12)	554	glnS	63478	5.0	reviewed	glutaminyl-tRNA aminoacylation [GO:0006425]; glutamyl-tRNA aminoacylation [GO:0006424]	cytosol [GO:0005829]	cytosol [GO:0005829]; ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]; glutaminyl-tRNA aminoacylation [GO:0006425]; glutamyl-tRNA aminoacylation [GO:0006424]	ATP binding [GO:0005524]; glutamine-tRNA ligase activity [GO:0004819]	GO:0004819; GO:0005524; GO:0005829; GO:0006424; GO:0006425
P00963	ASNA_ECOLI	Aspartate--ammonia ligase (EC 6.3.1.1) (Asparagine synthetase A)	asnA b3744 JW3722	Escherichia coli (strain K12)	330	asnA	36651	5.0	reviewed	asparagine biosynthetic process [GO:0006529]; DNA damage response [GO:0006974]; L-asparagine biosynthetic process [GO:0070981]	cytosol [GO:0005829]	cytosol [GO:0005829]; aspartate-ammonia ligase activity [GO:0004071]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]; asparagine biosynthetic process [GO:0006529]; DNA damage response [GO:0006974]; L-asparagine biosynthetic process [GO:0070981]	aspartate-ammonia ligase activity [GO:0004071]; ATP binding [GO:0005524]; identical protein binding [GO:0042802]; protein homodimerization activity [GO:0042803]	GO:0004071; GO:0005524; GO:0005829; GO:0006529; GO:0006974; GO:0042802; GO:0042803; GO:0070981
P00968	CARB_ECOLI	Carbamoyl phosphate synthase large chain (EC 6.3.4.16) (EC 6.3.5.5) (Carbamoyl phosphate synthetase ammonia chain)	carB pyrA b0033 JW0031	Escherichia coli (strain K12)	1073	carB	117842	5.0	reviewed	'de novo' UMP biosynthetic process [GO:0044205]; amino acid biosynthetic process [GO:0008652]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]; pyrimidine nucleobase biosynthetic process [GO:0019856]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]	carbamoyl-phosphate synthase complex [GO:0005951]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; amino acid binding [GO:0016597]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]; 'de novo' UMP biosynthetic process [GO:0044205]; amino acid biosynthetic process [GO:0008652]; glutamine metabolic process [GO:0006541]; L-arginine biosynthetic process [GO:0006526]; pyrimidine nucleobase biosynthetic process [GO:0019856]	amino acid binding [GO:0016597]; ATP binding [GO:0005524]; carbamoyl-phosphate synthase (ammonia) activity [GO:0004087]; carbamoyl-phosphate synthase (glutamine-hydrolyzing) activity [GO:0004088]; metal ion binding [GO:0046872]; nucleotide binding [GO:0000166]	GO:0000166; GO:0004087; GO:0004088; GO:0005524; GO:0005737; GO:0005829; GO:0005951; GO:0006526; GO:0006541; GO:0008652; GO:0016597; GO:0019856; GO:0044205; GO:0046872
P02358	RS6_ECOLI	Small ribosomal subunit protein bS6 (30S ribosomal protein S6) [Cleaved into: Small ribosomal subunit protein bS6, fully modified isoform; Small ribosomal subunit protein bS6, non-modified isoform]	rpsF b4200 JW4158	Escherichia coli (strain K12)	135	rpsF	15703	5.0	reviewed	cytoplasmic translation [GO:0002181]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; mRNA 5'-UTR binding [GO:0048027]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]; cytoplasmic translation [GO:0002181]	mRNA 5'-UTR binding [GO:0048027]; small ribosomal subunit rRNA binding [GO:0070181]; structural constituent of ribosome [GO:0003735]	GO:0002181; GO:0003735; GO:0005737; GO:0005829; GO:0022627; GO:0048027; GO:0070181
P02359	RS7_ECOLI	Small ribosomal subunit protein uS7 (30S ribosomal protein S7)	rpsG b3341 JW3303	Escherichia coli (strain K12)	179	rpsG	20019	5.0	reviewed	cytoplasmic translation [GO:0002181]; negative regulation of translation [GO:0017148]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; ribosome [GO:0005840]	cytoplasm [GO:0005737]; cytosol [GO:0005829]; cytosolic small ribosomal subunit [GO:0022627]; membrane [GO:0016020]; ribosome [GO:0005840]; mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]; cytoplasmic translation [GO:0002181]; negative regulation of translation [GO:0017148]; ribosomal small subunit assembly [GO:0000028]; translation [GO:0006412]	mRNA binding [GO:0003729]; rRNA binding [GO:0019843]; structural constituent of ribosome [GO:0003735]; tRNA binding [GO:0000049]	GO:0000028; GO:0000049; GO:0002181; GO:0003729; GO:0003735; GO:0005737; GO:0005829; GO:0005840; GO:0006412; GO:0016020; GO:0017148; GO:0019843; GO:0022627
P02916	MALF_ECOLI	Maltose/maltodextrin transport system permease protein MalF	malF b4033 JW3993	Escherichia coli (strain K12)	514	malF	57013	5.0	reviewed	DNA damage response [GO:0006974]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]; negative regulation of maltose transport [GO:1902344]; negative regulation of transmembrane transport [GO:0034763]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; enzyme IIA-maltose transporter complex [GO:1990154]; maltose transport complex [GO:1990060]; membrane [GO:0016020]; plasma membrane [GO:0005886]	ATP-binding cassette (ABC) transporter complex [GO:0043190]; enzyme IIA-maltose transporter complex [GO:1990154]; maltose transport complex [GO:1990060]; membrane [GO:0016020]; plasma membrane [GO:0005886]; ABC-type maltose transporter activity [GO:0015423]; DNA damage response [GO:0006974]; maltodextrin transmembrane transport [GO:0042956]; maltose transport [GO:0015768]; negative regulation of maltose transport [GO:1902344]; negative regulation of transmembrane transport [GO:0034763]	ABC-type maltose transporter activity [GO:0015423]	GO:0005886; GO:0006974; GO:0015423; GO:0015768; GO:0016020; GO:0034763; GO:0042956; GO:0043190; GO:1902344; GO:1990060; GO:1990154
P02918	PBPA_ECOLI	Penicillin-binding protein 1A (PBP-1a) (PBP1a) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcA ponA b3396 JW3359	Escherichia coli (strain K12)	850	mrcA	93636	5.0	reviewed	cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]	outer membrane-bounded periplasmic space [GO:0030288]; plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall organization [GO:0071555]; peptidoglycan biosynthetic process [GO:0009252]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0030288; GO:0046677; GO:0071555
P02919	PBPB_ECOLI	Penicillin-binding protein 1B (PBP-1b) (PBP1b) (Murein polymerase) [Includes: Penicillin-insensitive transglycosylase (EC 2.4.99.28) (Peptidoglycan TGase) (Peptidoglycan glycosyltransferase); Penicillin-sensitive transpeptidase (EC 3.4.16.4) (DD-transpeptidase)]	mrcB pbpF ponB b0149 JW0145	Escherichia coli (strain K12)	844	mrcB	94293	5.0	reviewed	cell wall repair [GO:0071433]; peptidoglycan biosynthetic process [GO:0009252]; positive regulation of bipolar cell growth [GO:0051518]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]	membrane [GO:0016020]; outer membrane-bounded periplasmic space [GO:0030288]; peptidoglycan-based cell wall [GO:0009274]; plasma membrane [GO:0005886]; penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]; cell wall repair [GO:0071433]; peptidoglycan biosynthetic process [GO:0009252]; positive regulation of bipolar cell growth [GO:0051518]; proteolysis [GO:0006508]; regulation of cell shape [GO:0008360]; response to antibiotic [GO:0046677]	penicillin binding [GO:0008658]; peptidoglycan glycosyltransferase activity [GO:0008955]; serine-type D-Ala-D-Ala carboxypeptidase activity [GO:0009002]	GO:0005886; GO:0006508; GO:0008360; GO:0008658; GO:0008955; GO:0009002; GO:0009252; GO:0009274; GO:0016020; GO:0030288; GO:0046677; GO:0051518; GO:0071433
